"gene","PID_ATF2_PATHWAY"
"UBE2Q1",0
"UBE2Q2",0
"PMM2",0
"PMM1",0
"NCBP1",0
"ZNF708",0
"CAMK1",0
"CAMK4",0
"ZC3H13",0
"SPN",0
"RNF111",0
"PISD",0
"DHX8",0
"DHX9",0
"TCOF1",0
"XPC",0
"SP1",0
"XPA",0
"SP3",0
"NUP93",0
"FBL",0
"COL7A1",0
"GTSE1",0
"ITGA9",0
"UGCG",0
"ATP2A1",0
"ATP2A2",0
"ATP2A3",0
"ITGA1",0
"ITGA2",0
"ITGA3",0
"ITGA4",0
"RIT1",0
"ITGA7",0
"HRH4",0
"HRH2",0
"HRH3",0
"HRH1",0
"ABCB1",0
"COL4A4",0
"COL4A3",0
"COL4A2",0
"COL4A1",0
"CHST2",0
"CHST7",0
"ITGAX",0
"HLX",0
"NOG",0
"ITGAV",0
"ITGAL",0
"ITGAM",0
"ITGAD",0
"ITGAE",0
"SMAD9",0
"SMAD4",0
"SMAD5",0
"SMAD6",0
"SMAD7",0
"SMAD1",0
"SMAD2",0
"SMAD3",0
"NECAP1",0
"IGF2R",0
"PLRG1",0
"CKS1B",0
"SLC36A1",0
"SPTLC1",0
"TCEA1",0
"COX4I1",0
"BFAR",0
"CRTAM",0
"EDA",0
"PIPOX",0
"MCF2L",0
"ATP1A4",0
"ATP1A3",0
"ATP1A1",0
"MGRN1",0
"CRTAP",0
"SPHK1",0
"CPEB1",0
"ABAT",0
"FRG1",0
"IFT88",0
"KISS1R",0
"MCM10",0
"KYNU",0
"CFH",0
"PNP",0
"CFD",0
"CFB",0
"MLLT4",0
"PNN",0
"ATP6V0E1",0
"ATP6V0E2",0
"AAAS",0
"EDC3",0
"CREB3",0
"CNPY3",0
"HMG20B",0
"RFX5",0
"AVPR2",0
"NRXN2",0
"NRXN1",0
"APC",0
"UQCRC2",0
"UQCRC1",0
"GGCX",0
"GGCT",0
"BAK1",0
"B4GALT3",0
"DPYSL4",0
"TARS2",0
"DPYSL2",0
"DPYSL3",0
"GPR17",0
"IGFBP2",0
"IGFBP3",0
"HBE1",0
"B4GALT2",0
"IGFBP4",0
"CYP1B1",0
"CYP2R1",0
"GJA3",0
"GJA4",0
"S1PR2",0
"KDM3A",0
"S1PR1",0
"NSL1",0
"APIP",0
"EIF2B4",0
"EIF2B5",0
"EIF2B2",0
"EIF2B3",0
"EIF2B1",0
"PRKAR2A",0
"PRKAR2B",0
"TXNIP",0
"QPRT",0
"CFLAR",0
"ITGA2B",0
"NLGN2",0
"LRSAM1",0
"NUP107",0
"ITGA5",0
"ITGA6",0
"SF1",0
"UBE2NL",0
"FANCI",0
"ZMAT3",0
"ZMAT2",0
"MYBL1",0
"NR1D1",0
"NR1D2",0
"MYBL2",0
"ZNF2",0
"ZNF3",0
"TIPIN",0
"ZAP70",0
"CDC5L",0
"RAC2",0
"RAC3",0
"RAC1",0
"VCL",0
"LILRB4",0
"AP2A1",0
"AP2A2",0
"PBX1",0
"BCL6",0
"AIRE",0
"NSUN2",0
"TUBG1",0
"TUBG2",0
"TARS",0
"TIMM44",0
"TUFM",0
"DGAT2",0
"RAD9A",0
"B3GAT1",0
"UXT",0
"CALM2",0
"CALM3",0
"CALM1",0
"PLK1",0
"DLGAP5",0
"SRSF10",0
"OIP5",0
"PLK4",0
"BRD4",0
"BRD2",0
"DNAJA3",0
"DNAJA1",0
"AKT1",0
"PTPN13",0
"PTPN11",0
"MYCBP",0
"GALR2",0
"SETD1B",0
"LYAR",0
"CSF2RB",0
"MRPL24",0
"MRPL27",0
"DMD",0
"MRPL20",0
"MRPL23",0
"MRPL22",0
"GAB2",0
"MRPL28",0
"TFIP11",0
"HABP4",0
"NDRG1",0
"NDRG2",0
"SRSF5",0
"SRSF4",0
"SRSF7",0
"SRSF6",0
"SRSF1",0
"SRSF3",0
"SRSF2",0
"SRSF9",0
"SRSF8",0
"DNAJB11",0
"HLA-DQB1",0
"RNF135",0
"RNF138",0
"CLNS1A",0
"CDK8",0
"MCOLN1",0
"ZNF582",0
"ZNF584",0
"ZNF587",0
"CDK9",0
"ZNF589",0
"PSD",0
"CAMKK2",0
"CAMKK1",0
"RPL36AL",0
"CHMP7",0
"CHMP6",0
"BCR",0
"OR52N4",0
"CTPS2",0
"GTF2I",0
"CEP57",0
"ZNF324",0
"ZNF320",0
"SRM",0
"LGALS3",0
"LGALS1",0
"EIF2AK3",0
"EIF2AK2",0
"TDG",0
"NMB",0
"EREG",0
"ASAP1",0
"ASAP2",0
"MYO10",0
"OCRL",0
"PLAUR",0
"LPGAT1",0
"TIMM17B",0
"GCNT4",0
"GCNT1",0
"LPCAT4",0
"LPCAT2",0
"LPCAT3",0
"LPCAT1",0
"PIGA",0
"PIGB",0
"PIGC",0
"PIGF",0
"CALCRL",0
"PIGH",0
"PIGK",0
"PIGL",0
"PIGM",0
"PIGN",0
"PIGO",0
"PIGP",0
"PIGQ",0
"PIGR",0
"PIGS",0
"PIGT",0
"PIGU",0
"WRAP53",0
"PIGW",0
"PIGX",0
"TAGLN",0
"TAX1BP1",0
"SLC20A2",0
"OLR1",0
"SRRM1",0
"SRRM2",0
"PDK1",0
"PDK3",0
"PDK2",0
"EBP",0
"PDK4",0
"LNPEP",0
"SEC61A1",0
"SEC61A2",0
"PTGS2",0
"PECR",0
"PUF60",0
"SUPT3H",0
"CHST13",0
"SLC39A10",0
"EIF1AX",0
"NTRK1",0
"ARHGAP22",0
"ARHGAP26",0
"ARHGAP25",0
"ARHGAP24",0
"ARHGAP29",0
"DDIT4",0
"NFKBIL1",0
"SLCO4C1",0
"COL19A1",0
"BMP6",0
"BMP4",0
"BMP2",0
"BMP1",0
"TERF2",0
"TERF1",0
"AMD1",0
"RASSF1",0
"RASSF5",0
"NHP2",0
"ATP5C1",0
"ATP8B3",0
"CHD3",0
"CHD4",0
"CHD8",0
"CAP1",0
"NPC2",0
"NPC1",0
"SKIV2L",0
"TTC5",0
"IL4R",0
"PIKFYVE",0
"ATP10D",0
"DAG1",0
"DYNC1LI2",0
"ETHE1",0
"ABCG1",0
"ABCG2",0
"PRDM15",0
"MPO",0
"MPI",0
"PRKCZ",0
"POLRMT",0
"FUCA1",0
"MPZ",0
"GRPEL1",0
"GRPEL2",0
"FCER1G",0
"FCER1A",0
"BTG2",0
"SLA2",0
"SRD5A3",0
"SRD5A1",0
"HELLS",0
"ZFP36L1",0
"GGA1",0
"GGA3",0
"GGA2",0
"ADH5",0
"GJC2",0
"ZNF138",0
"PRKACG",0
"PRKACA",0
"PSMB9",0
"PSMB8",0
"PSMB7",0
"PSMB6",0
"PSMB5",0
"PSMB4",0
"PSMB3",0
"PSMB2",0
"ZNF136",0
"TALDO1",0
"RMI1",0
"KCNK6",0
"KCNK7",0
"MLH3",0
"MLH1",0
"SH3KBP1",0
"BEX1",0
"PMVK",0
"GRIN2C",0
"GNA12",0
"GNA13",0
"GRIN2D",0
"GNA11",0
"SH2B3",0
"TAP1",0
"TAP2",0
"MFGE8",0
"IL6ST",0
"OGDH",0
"ADD1",0
"SEMG1",0
"WEE1",0
"BCAT2",0
"BCAT1",0
"GBA2",0
"AKAP5",0
"GTF2F1",0
"AKAP1",0
"GTF2F2",0
"AKAP9",0
"EIF2A",0
"PSTK",0
"PHPT1",0
"SMC1A",0
"HSP90B1",0
"PEG10",0
"CETN2",0
"CCL28",0
"H3F3C",0
"DIO1",0
"H3F3A",0
"CCL20",0
"CCL23",0
"UCK1",0
"UCK2",0
"TP53I3",0
"CUX1",0
"TMSL3",0
"BRF2",0
"BRF1",0
"DNAJC8",0
"CSNK1A1",0
"DNAJC5",0
"DNAJC6",0
"DNAJC3",0
"GOSR2",0
"SLC18A2",0
"SLC18A1",0
"GOSR1",0
"RALBP1",0
"SPHK2",0
"RAP1B",0
"RAP1A",0
"ASAP3",0
"PHAX",0
"ACAT1",0
"ACAT2",0
"CD200R1",0
"IVD",0
"CTF1",0
"PEX3",0
"LDLR",0
"IL2RA",0
"IL2RB",0
"ZFYVE20",0
"ZFYVE28",0
"SETDB2",0
"CDK5RAP2",0
"ITCH",0
"ZNF207",0
"ERC1",0
"CHMP4B",0
"BAX",0
"BAD",0
"IARS",0
"ZNF202",0
"COBLL1",0
"CDK19",0
"PMPCB",0
"SLC37A4",0
"CDK12",0
"GPR124",0
"NEO1",0
"ATP6V1B2",0
"AASDH",0
"PTEN",0
"KCNAB1",0
"ZNF304",0
"ZNF300",0
"KCNAB3",0
"STS",0
"P2RY2",0
"SEC61G",0
"P2RY1",0
"SEC61B",0
"TFG",0
"RND1",0
"NCL",0
"CTNNBIP1",0
"PPP3CA",0
"PPP3CB",0
"PPP3CC",0
"LIF",0
"PKM2",0
"LRRC41",0
"B3GNT4",0
"B3GNT5",0
"B3GNT7",0
"B3GNT2",0
"B3GNT3",0
"FGFR2",0
"B3GNT8",0
"B3GNT9",0
"CTSW",0
"PCYT1A",0
"DAAM2",0
"HLA-DRB1",0
"HLA-DRB5",0
"PCYT1B",0
"GUK1",0
"YIF1A",0
"NDUFA4L2",0
"TLR10",0
"FN1",0
"SYT1",0
"SYT2",0
"CXCL9",0
"ATP5O",0
"ATP5L",0
"NCSTN",0
"SAP30",0
"ANGPT2",0
"ATP5D",0
"ANGPT4",0
"OXT",0
"ATP6V0A1",0
"ATP6V0A2",0
"MRPS31",0
"ATM",0
"SMPD4",0
"SMPD1",0
"HAAO",0
"SMPD3",0
"SMPD2",0
"BRIP1",0
"ATP5A1",0
"DOT1L",0
"PATL1",0
"CARS",0
"IL6R",0
"ENO1",0
"ENO2",0
"ENO3",0
"PDE7A",0
"SYCP2",0
"TAOK1",0
"TAOK2",0
"TAOK3",0
"CNOT6L",0
"LLGL2",0
"SLC22A18",0
"LLGL1",0
"SLC22A16",0
"ACOX3",0
"ACOX1",0
"OBSCN",0
"DAGLA",0
"PTK2",0
"PRKAA1",0
"ITGB3BP",0
"PFDN2",0
"MCL1",0
"SORBS1",0
"POMP",0
"SORBS3",0
"ODC1",0
"IL18RAP",0
"EOMES",0
"ARHGDIB",0
"NANP",0
"NANS",0
"ENDOG",0
"CES1",0
"CES3",0
"CES2",0
"EBF1",0
"FFAR3",0
"LMNA",0
"BDH1",0
"DDX23",0
"DDX21",0
"DDX20",0
"ZNF157",0
"ZNF154",0
"ZNF155",0
"ZNF92",0
"FLVCR1",0
"UBE2J1",0
"TBX21",0
"FBXO11",0
"GGPS1",0
"NRTN",0
"PARD6G",0
"FAM153A",0
"PARD6B",0
"PARD6A",0
"PLA2G6",0
"PLA2G7",0
"ERBB3",0
"SHC1",0
"SHC2",0
"SHC3",0
"FPR1",0
"FPR2",0
"FPR3",0
"HIST3H2BB",0
"ELL",0
"SPEN",0
"FKBP1A",0
"STAT6",0
"TIMM8B",0
"DAXX",0
"CDC16",0
"NT5C",0
"NT5E",0
"MAP1B",0
"UNC5B",0
"UNC5A",0
"GNAQ",0
"GNAS",0
"MED13L",0
"GNAZ",0
"GNAL",0
"KRT1",0
"KRT5",0
"KRT8",0
"VPS45",0
"NMNAT2",0
"NMNAT3",0
"NMNAT1",0
"ALOX12B",0
"RPS19",0
"RPL36A",0
"PPCDC",0
"EPB41L3",0
"RPS18",0
"ACSS2",0
"ACSS1",0
"VPS4A",0
"VPS4B",0
"SLC43A2",0
"SLC43A1",0
"MAGEH1",0
"WNT1",0
"WNT6",0
"WNT4",0
"PPP1R15A",0
"RIPK2",0
"BLMH",0
"PALB2",0
"INSR",0
"HIST2H2BF",0
"HIST2H2BE",0
"SPTBN5",0
"SPTBN4",0
"SPTBN2",0
"SPTBN1",0
"EBAG9",0
"GBE1",0
"PCNA",0
"SLC44A1",0
"SLC44A2",0
"SLC44A3",0
"SLC44A5",0
"MRPL38",0
"HDAC1",0
"RPA1",0
"RPA3",0
"RPA2",0
"NDUFS1",0
"NDUFS2",0
"NDUFS3",0
"NDUFS4",0
"NDUFS5",0
"NDUFS6",0
"NDUFS7",0
"C1S",0
"C1R",0
"ILF3",0
"ILF2",0
"HBD",0
"HBB",0
"CHMP2B",0
"MUC20",0
"CHMP2A",0
"ATP9B",0
"ATP9A",0
"TPX2",0
"PPT1",0
"INPP4B",0
"WHSC1L1",0
"SAFB",0
"PRF1",0
"MGMT",0
"H2AFV",0
"H2AFX",0
"H2AFY",1
"H2AFZ",0
"RNF8",0
"RNF6",0
"RNF7",0
"RNF4",0
"RNF2",0
"APP",0
"H2AFJ",0
"GSTA4",0
"CLTA",0
"CLTC",0
"CLTB",0
"ADRBK1",0
"ADRBK2",0
"NLRX1",0
"GLIPR1",0
"PCOLCE",0
"SRPRB",0
"ASB3",0
"BAIAP2",0
"ACTR3",0
"ACTR2",0
"NAP1L1",0
"CNR1",0
"CNR2",0
"POLDIP3",0
"GP1BA",0
"ALDH18A1",0
"ICOS",0
"TGS1",0
"IDUA",0
"SLC40A1",0
"GLB1",0
"TINF2",0
"NKX3-1",0
"GNRH1",0
"ADAM10",0
"ADAM12",0
"ADAM17",0
"HAGH",0
"WNT8B",0
"PYCARD",0
"DNMT3B",0
"MMP24",0
"DNMT3A",0
"DNMT3L",0
"NDEL1",0
"SNRPB",0
"SNRPC",0
"SNRPA",0
"SHANK3",0
"SNRPG",0
"SNRPE",0
"UCP2",0
"PRKAG2",0
"PCSK6",0
"UCP3",0
"PCSK5",0
"HIPK2",0
"CD180",0
"ESPL1",0
"NAPA",0
"RPSAP9",0
"COL15A1",0
"DDX41",0
"ZNF175",0
"DDX42",0
"DDX46",0
"PLTP",0
"EIF5A2",0
"ELAVL1",0
"CDKN1C",0
"CDKN1B",0
"CDKN1A",0
"UBE2D2",0
"UBE2D3",0
"UBE2D1",0
"APOE",0
"STX10",0
"STX18",0
"VPRBP",0
"SLC35B2",0
"SLC35B4",0
"FBXO32",0
"IGFBP6",0
"SAT1",0
"TK1",0
"PELP1",0
"MBOAT2",0
"MBOAT1",0
"MBOAT7",0
"MBOAT4",0
"SPSB2",0
"SPSB1",0
"BPGM",0
"CDC34",0
"CDC37",0
"ALAS1",0
"PTTG1",0
"S100A2",0
"BIRC2",0
"IRAK3",0
"PGLS",0
"IL23R",0
"COL10A1",0
"CYP27A1",0
"CCNA2",1
"WDR1",0
"VPS25",0
"DYNC1I1",0
"VPS28",0
"DYNC1I2",0
"SKA1",0
"SKA2",0
"PRKRA",0
"MEF2D",0
"PLEKHO2",0
"E2F7",0
"E2F6",0
"E2F5",0
"E2F4",0
"E2F3",0
"E2F2",0
"E2F1",0
"ZNFX1",0
"PPP1R13B",0
"PPP1R13L",0
"EEF2",0
"PYCR2",0
"PYCR1",0
"COX6A1",0
"WNT10B",0
"GNG10",0
"GNG11",0
"GATA1",0
"IFITM3",0
"IFITM2",0
"LIPC",0
"LIPE",0
"DFFA",0
"DFFB",0
"SEC24D",0
"REV3L",0
"SEC24C",0
"SEC24B",0
"MRPL43",0
"MRPL42",0
"MRPL41",0
"MRPL40",0
"MRPL47",0
"MRPL46",0
"MRPL45",0
"MRPL44",0
"TRIP6",0
"MRPL49",0
"MRPL48",0
"ARFGAP2",0
"ARFGAP1",0
"UNC93B1",0
"LAMB3",0
"CYSLTR2",0
"CYSLTR1",0
"COPZ1",0
"RUVBL2",1
"U2AF1",0
"U2AF2",0
"MPHOSPH6",0
"BMX",0
"KCNAB2",0
"G0S2",0
"DHPS",0
"SHB",0
"CCDC6",0
"COX7A2",0
"DYNC2H1",0
"MTHFD1",0
"RHOQ",0
"TBP",0
"MGP",0
"NSD1",0
"GPT2",0
"ADSS",0
"GMNN",0
"ADSL",0
"ACVR1C",0
"ZNF343",0
"ZNF434",0
"AZI1",0
"ZNF347",0
"ZNF430",0
"ZNF433",0
"ZNF432",0
"ZNF439",0
"RALGDS",0
"NUDT12",0
"DLL1",0
"DLL3",0
"ZW10",0
"NUDT19",0
"STX8",0
"IFI6",0
"STX3",0
"STX5",0
"STX4",0
"STX7",0
"STX6",0
"RPS3A",0
"FBP1",0
"GPR77",0
"STAB2",0
"NLGN3",0
"ARHGAP44",0
"ZNF205",0
