gene,GTEX.11GS4.2326.SM.5A5KS,GTEX.11OF3.1326.SM.5N9FJ,GTEX.11TTK.1926.SM.5PNW8,GTEX.12696.0926.SM.5FQTV,GTEX.12WSG.0826.SM.5EQ5A,GTEX.13112.2126.SM.5GCO4,GTEX.1399S.0526.SM.5IJG8,GTEX.13NYB.1726.SM.5N9G2,GTEX.13O1R.2526.SM.5N9FW,GTEX.13OVI.1126.SM.5KLZF,GTEX.13OVL.1826.SM.5KLZR,GTEX.13OW6.1826.SM.5N9F9,GTEX.13RTJ.2226.SM.5S2Q1,GTEX.145MN.0326.SM.5QGQI,GTEX.147F4.2626.SM.5Q5CS,GTEX.1497J.0826.SM.5NQAJ,GTEX.NPJ8.2226.SM.3TW8D,GTEX.P4QS.1126.SM.3NMD5,GTEX.QDVN.1626.SM.48TZC,GTEX.RN64.1626.SM.48FD7,GTEX.T5JC.1526.SM.4DM68,GTEX.XPVG.0526.SM.4B65N,GTEX.Y5V6.2026.SM.5IFHO,GTEX.ZC5H.1726.SM.5HL7X,GTEX.ZDXO.0226.SM.4WKH7,GTEX.ZE9C.1426.SM.4WKGM,GTEX.ZLFU.0926.SM.5P9F8,GTEX.ZVZP.0926.SM.5GIDB,GTEX.ZYFG.1626.SM.5GZYY,GTEX.ZYT6.2226.SM.5GIC9
ENSG00000087086,2844,9330,7582,2695,11550,2687,6657,22010,5597,5427,2414,5326,5159,5669,4005,16900,5476,7766,13260,3345,5402,7565,5091,7615,3759,3559,7014,5355,5230,3400
ENSG00000211445,2257,3137,850.6,1084,11610,383.9,5668,15710,3361,7457,538.9,4389,4139,8705,1670,14070,2502,8809,10450,255.2,5224,6114,5145,6966,716.6,244.8,3014,2060,1518,539.8
ENSG00000136872,843.7,3645,0.8038,81.3,2006,86.79,194.5,20790,1260,2195,346.1,3043,837.4,1646,1122,2327,947.2,2705,2192,36.35,4367,1080,1955,1048,756.2,6.537,366.1,268.6,1128,104.3
ENSG00000118785,2164,383.6,7034,2276,6051,92.69,2314,1766,2822,2233,89.28,270.1,5655,12470,1040,6987,1778,3868,9575,436.2,1847,5193,4989,3493,144.3,1513,3963,1402,3779,305.6
ENSG00000248527,9141,11160,45.24,5704,8115,6301,4237,4339,9568,4420,7801,8839,5204,5049,5154,9050,5913,14420,6371,3746,8086,6880,9020,11570,8857,2954,3354,5810,6080,6202
ENSG00000169344,1511,127.8,91.96,1391,366,3120,171.4,234.3,51.96,27.43,3098,172,1592,1579,113.1,221.4,12.63,406.5,101.3,228.7,968,337.6,702.3,330.4,622.9,162.9,1893,1308,5174,9970
ENSG00000225972,22.65,35.8,9.238,18.94,21.97,18.4,12.69,2372,21.05,3548,19.54,28.67,8.537,4339,10.25,5280,11.66,8294,14.37,8.757,18.55,18.77,14.83,16.95,25.98,7.346,8.208,16.22,53.33,10.72
ENSG00000244734,3297,390.1,7722,475.7,280.9,778.1,43.93,403.8,355.8,28.2,1138,629.7,809.9,8.647,2100,218.4,4747,87.57,92.77,527.1,843.2,219.1,3.856,2797,528.9,2176,194.2,5.944,38.05,364.6
ENSG00000234745,1064,600.8,5309,627.6,450.1,1052,2614,1161,988.7,2239,554.7,670,2434,2628,2042,978.6,576.5,665.1,875.2,2071,547.2,1175,440.9,648.9,493,4139,2233,1484,1143,1098
ENSG00000164825,1223,1233,5551,464.2,665.9,699.4,309.5,3416,324,1107,863.5,1047,1849,938.7,814.5,898.1,180.6,1043,514.2,346.7,868.6,615.7,1281,584.3,518.3,694.2,552.9,662.7,969.1,2862
ENSG00000231500,757.4,885,5797,1584,744.2,1447,3311,2226,838.1,2573,1263,541.1,2206,1768,2111,888.3,1089,800.3,1553,1855,866.2,1190,671.1,683.6,851,2518,2433,1879,1268,2350
ENSG00000156508,933.5,1027,5544,1393,1011,1676,1925,4070,892.8,2637,1458,702.1,2043,1729,2251,793.3,1278,839.3,1121,2871,1407,1323,680.1,720.1,814,2328,1678,1221,1466,1885
ENSG00000112306,719,802.1,4970,1622,695.3,1565,2626,1953,1038,2278,1130,470,1917,1835,2017,855.1,1074,828.9,1353,2649,811.5,1228,649.9,619.2,795.3,2655,2334,1635,1457,1976
ENSG00000142534,677,755.5,5081,1358,826.3,1820,2609,1896,823.5,2079,1357,528.2,2019,1523,1551,808.7,1029,817.4,1074,2250,864.9,1018,596.8,553.9,772.7,2257,1762,1499,1184,2612
ENSG00000237973,79.99,321.9,21.33,32.66,36.17,27.59,106.9,691,111.4,166.1,39.68,101.2,37.6,125.5,62.23,157.9,100.3,5073,179,16.65,51.28,88.69,223.2,102.2,286.6,27.31,101.6,113.1,86.4,19.01
ENSG00000075624,1323,733,3568,1827,670.5,1263,3087,1591,1041,2126,1174,609.4,1177,3005,1978,1215,328.6,1014,1216,1743,418.2,2051,921.7,493.7,638.5,1963,3377,2280,2747,1745
ENSG00000167996,729.5,847.9,3238,1237,1766,609.3,2103,1839,1270,1582,600.3,533.3,1464,1938,834.2,4266,1041,1954,3405,1023,837.5,1712,1038,542.4,562.3,1077,1634,1586,1388,658
ENSG00000117984,807.2,412.6,3115,1845,1078,451,1686,735.6,830.5,2408,333.7,312.5,1580,2302,1354,1538,324.1,1002,2622,1024,406,1600,1069,509.6,320.8,1771,2688,2060,2466,867.3
ENSG00000125144,336.4,1530,75.02,113,1212,128.6,276.2,4085,157,244.7,375,1072,2046,849.5,50.92,294.9,114,57.84,771,31.42,993.7,463.9,235.8,1083,552.9,34.79,109.7,44.77,360.2,276.9
ENSG00000111341,279.8,155.1,2843,2540,367.4,471,1959,319.3,346.8,2517,351.6,145.9,1678,905.3,1030,328.4,579.6,365.5,296.3,1658,233.6,977.9,203.3,243.3,144.8,306.3,1586,1006,793.3,500.4
ENSG00000166710,769.7,458.8,3526,734.9,503.2,913.7,1526,1102,629.3,1539,638.1,752.6,1569,1551,1606,735,321.1,575.2,738.3,1674,415.2,831.5,438.9,455.3,338.8,3387,1345,966.4,865.5,969.1
ENSG00000034510,875.6,491,2858,1258,614.5,1080,2665,755.1,1237,2192,639.8,337.6,1791,2368,1558,1225,1134,896.9,1172,1455,411.3,1556,583.4,582.2,575.2,2855,2498,2008,1524,1186
ENSG00000163453,972.8,658.1,3469,1106,848.7,1179,1463,1107,458.4,1920,984.2,466.5,1575,1658,2729,809.2,398,627.9,842.4,2447,563.8,1459,574.4,415.2,413.5,1670,2045,1611,1386,1624
ENSG00000197956,625.5,379.4,3353,2704,436.9,993.9,1139,581.5,1564,1251,710.8,301.4,1452,1539,1404,499.1,324.7,358.4,351.2,1736,387,674.8,282.8,298.8,441.2,1689,1226,1162,1070,1715
ENSG00000109846,138.9,138.4,608.8,777.5,1403,210.8,744.9,500.7,727.5,824.8,137.6,124.1,626.7,1698,192.4,2964,1152,2040,2705,379.3,192.6,1114,784.1,583.8,217.3,613.8,779.5,535,1130,325.7
ENSG00000182492,293.9,136.6,1773,1053,188.7,998.3,618.3,335.2,116.9,302.4,629.8,145.4,553.5,467.2,805.4,174.6,200.7,183.2,219.3,3815,139.9,392.9,124.9,122.8,184.4,688.1,1128,820.7,651.5,794.9
ENSG00000205542,708.4,512.3,2998,1226,499.9,1602,1541,786,538,1391,975,473.6,1113,1268,1561,404.6,595,391.8,345.7,2613,357.5,569.7,288,373.2,547.2,2422,1520,1144,1089,1540
ENSG00000142089,606.8,333.8,2815,1447,461.9,689.7,1833,840.1,1201,1303,415.3,389.1,1915,2221,1228,1088,1009,767.3,1403,1312,391.7,671,496.8,423.2,288.2,2618,2209,1392,1114,714
ENSG00000177954,394.1,526.4,3832,868,550.5,1093,1782,1272,588.4,1756,776.3,353,1222,932,1192,538.4,818.5,568.3,707.1,1645,638,686.7,374.9,453.4,482.6,1426,1228,944,675.7,1606
ENSG00000171766,141.3,421.4,18.43,38.94,202.2,58.86,35.15,3695,105.6,131.8,172.1,407.1,59.13,132.6,86.95,164.6,24.39,98.97,151.7,18.37,509.2,175.2,148,167.7,134.5,21.19,75.54,55.94,93.5,87.4
ENSG00000184009,879.1,448.6,3165,1288,440.3,1027,1886,1305,712.5,1373,846.6,438.2,992.1,1994,1455,830.5,223.5,533.1,738.1,1585,427.3,1145,497.2,334.6,453.4,1676,1965,1421,1425,1434
ENSG00000101443,300.3,81.79,2004,361.7,143.6,54.04,559.6,86.94,100.2,578.3,48.4,44.51,1099,1275,747.7,465.3,288.1,508.9,1024,178.2,99.85,501.9,208.7,181.9,113.8,2925,1103,926.1,879.5,73.85
ENSG00000188536,1272,172.6,2645,300.3,74.63,464.4,10.74,127.6,109.6,3.565,532.7,189.4,422.9,3.125,701.3,88.82,1843,36.15,17.72,227.5,467.4,61,1.087,711.7,349.1,1324,53.61,1.582,7.669,205.1
ENSG00000105193,477.1,532.3,3323,1110,557.1,1150,1951,1302,747.5,1649,848.4,310.9,1175,1182,1055,688.6,580.4,609.2,969.9,1539,535.6,858.5,468.7,458.3,505.2,1467,1380,1211,849.6,1624
ENSG00000206503,593.5,391.5,2757,481.8,489.4,634.5,1415,737.4,582.7,1457,382,410.7,1350,1624,1358,685.8,321.8,451.3,985.4,1217,342.1,864.1,452.5,561,275.7,2371,1436,1131,999,712.1
ENSG00000204525,700.1,499.6,2683,1128,372.7,509,1051,478.9,793.6,723.7,264,590.8,921,1401,1207,688.7,292.7,594.9,992.8,1735,372.3,544,479.7,555.1,209.9,2420,992.5,1012,935.3,533.2
ENSG00000130203,393.5,325.2,143.6,64.22,2279,19.3,612.9,1438,896.3,766.3,107.9,937.2,597.6,1180,339.5,776.4,220.1,717.1,1563,54.61,1603,643.2,1196,1042,101.8,41.48,641.5,240.2,369.5,74.66
ENSG00000106211,379.2,462.7,1443,446.1,2286,557.6,720.7,1206,1371,350.7,359,283.1,678.3,490,431.2,316.7,820.7,313.1,426.7,740.9,354.1,491.8,369.7,829.3,232.9,2626,669.3,486.7,456.2,785.8
ENSG00000162366,187.2,245.7,175.9,91.48,508,51.46,641.6,913,365.5,1073,92.61,449.5,370.1,1391,209.2,1512,245.7,1055,2468,25.26,616.1,1225,1134,548.9,112,63.87,714.9,311.3,454.2,148
ENSG00000118181,445.5,575,2970,1049,542.8,1221,1382,1322,549.4,1445,849.7,424,1134,969.4,1178,481.9,637.5,464.1,687.2,1440,624.6,630.6,392.9,398.9,512.9,1476,1113,847.5,820.8,1647
ENSG00000111640,566.5,577.1,2903,1396,739.9,560,867.3,2082,1007,846.7,472.1,439.8,1086,1469,942.6,1111,501.5,800.6,1115,848.7,559.8,1201,824.7,532.8,348.7,696.9,1084,904,1414,827.8
ENSG00000254772,478.8,591.7,2847,857.7,639.3,1120,1573,1855,528.3,1389,871,409.1,1207,1232,1087,649.6,652.6,638,855.9,1409,649.8,815,514.5,480.1,491.8,1336,1367,990.1,894.2,1309
ENSG00000265972,261.4,336.3,408.6,308.8,416.8,419.5,1431,287,208.8,2681,374.2,171.8,1335,528.6,821.6,512.1,397.9,445.6,357.9,622.2,607.9,331.4,229.3,429.4,151.1,962.2,1282,777.9,830.1,448.5
ENSG00000109610,70.64,56.4,791.2,228,50.24,196.7,164,80.99,57.26,242.7,152.8,35.49,115.8,322.5,444.8,102,26.22,44.65,114.8,241.8,95.48,150,48.83,34.52,116,2853,335.7,217.6,239.1,172.4
