gene,biotype
ENSG00000210049,Mt_tRNA
ENSG00000211459,Mt_rRNA
ENSG00000210077,Mt_tRNA
ENSG00000210082,Mt_rRNA
ENSG00000209082,Mt_tRNA
ENSG00000198888,protein_coding
ENSG00000210100,Mt_tRNA
ENSG00000210107,Mt_tRNA
ENSG00000210112,Mt_tRNA
ENSG00000198763,protein_coding
ENSG00000210117,Mt_tRNA
ENSG00000210127,Mt_tRNA
ENSG00000210135,Mt_tRNA
ENSG00000210140,Mt_tRNA
ENSG00000210144,Mt_tRNA
ENSG00000198804,protein_coding
ENSG00000210151,Mt_tRNA
ENSG00000210154,Mt_tRNA
ENSG00000198712,protein_coding
ENSG00000210156,Mt_tRNA
ENSG00000228253,protein_coding
ENSG00000198899,protein_coding
ENSG00000198938,protein_coding
ENSG00000210164,Mt_tRNA
ENSG00000198840,protein_coding
ENSG00000210174,Mt_tRNA
ENSG00000212907,protein_coding
ENSG00000198886,protein_coding
ENSG00000210176,Mt_tRNA
ENSG00000210184,Mt_tRNA
ENSG00000210191,Mt_tRNA
ENSG00000198786,protein_coding
ENSG00000198695,protein_coding
ENSG00000210194,Mt_tRNA
ENSG00000198727,protein_coding
ENSG00000210195,Mt_tRNA
ENSG00000210196,Mt_tRNA
ENSG00000227205,processed_pseudogene
ENSG00000226446,processed_pseudogene
ENSG00000134249,protein_coding
ENSG00000134250,protein_coding
ENSG00000273406,lncRNA
ENSG00000207149,snRNA
ENSG00000265808,protein_coding
ENSG00000274642,unprocessed_pseudogene
ENSG00000277313,misc_RNA
ENSG00000223804,transcribed_unprocessed_pseudogene
ENSG00000273727,snRNA
ENSG00000270231,transcribed_unprocessed_pseudogene
ENSG00000270392,transcribed_processed_pseudogene
ENSG00000275131,transcribed_unprocessed_pseudogene
ENSG00000273694,snRNA
ENSG00000275933,misc_RNA
ENSG00000286106,protein_coding
ENSG00000273136,protein_coding
ENSG00000287979,lncRNA
ENSG00000275538,snRNA
ENSG00000263353,protein_coding
ENSG00000281741,TEC
ENSG00000226067,lncRNA
ENSG00000277610,snRNA
ENSG00000285215,transcribed_unprocessed_pseudogene
ENSG00000275585,transcribed_unprocessed_pseudogene
ENSG00000273516,snRNA
ENSG00000275296,processed_pseudogene
ENSG00000198019,protein_coding
ENSG00000234998,lncRNA
ENSG00000233029,lncRNA
ENSG00000223345,transcribed_unprocessed_pseudogene
ENSG00000227193,lncRNA
ENSG00000213244,unprocessed_pseudogene
ENSG00000268993,processed_pseudogene
ENSG00000188610,protein_coding
ENSG00000171943,protein_coding
ENSG00000275129,processed_pseudogene
ENSG00000230806,lncRNA
ENSG00000227082,lncRNA
ENSG00000228826,lncRNA
ENSG00000233432,processed_pseudogene
ENSG00000272583,lncRNA
ENSG00000231752,transcribed_unprocessed_pseudogene
ENSG00000224857,lncRNA
ENSG00000276118,unprocessed_pseudogene
ENSG00000277095,unprocessed_pseudogene
ENSG00000277702,unprocessed_pseudogene
ENSG00000252830,rRNA
ENSG00000264145,processed_pseudogene
ENSG00000274927,unprocessed_pseudogene
ENSG00000242943,processed_pseudogene
ENSG00000223495,processed_pseudogene
ENSG00000235887,lncRNA
ENSG00000203825,unprocessed_pseudogene
ENSG00000179571,unprocessed_pseudogene
ENSG00000226028,processed_pseudogene
ENSG00000202167,snRNA
ENSG00000207349,snRNA
ENSG00000252826,snRNA
ENSG00000206737,snRNA
ENSG00000232721,lncRNA
ENSG00000223779,unprocessed_pseudogene
ENSG00000242352,transcribed_processed_pseudogene
ENSG00000270962,processed_pseudogene
ENSG00000263590,lncRNA
ENSG00000252105,snRNA
ENSG00000233430,unprocessed_pseudogene
ENSG00000237503,processed_pseudogene
ENSG00000265531,unprocessed_pseudogene
ENSG00000234571,transcribed_unprocessed_pseudogene
ENSG00000273213,protein_coding
ENSG00000230186,lncRNA
ENSG00000268074,processed_pseudogene
ENSG00000263513,protein_coding
ENSG00000270872,unprocessed_pseudogene
ENSG00000276674,IG_V_pseudogene
ENSG00000275075,processed_pseudogene
ENSG00000275767,unprocessed_pseudogene
ENSG00000232527,lncRNA
ENSG00000276442,rRNA
ENSG00000175658,processed_pseudogene
ENSG00000276756,transcribed_unprocessed_pseudogene
ENSG00000271567,protein_coding
ENSG00000271439,processed_pseudogene
ENSG00000207205,snRNA
ENSG00000237343,lncRNA
ENSG00000233586,processed_pseudogene
ENSG00000266338,protein_coding
ENSG00000227212,processed_pseudogene
ENSG00000229002,unprocessed_pseudogene
ENSG00000275291,snRNA
ENSG00000278099,snRNA
ENSG00000277918,snRNA
ENSG00000279782,protein_coding
ENSG00000277199,lncRNA
ENSG00000224363,lncRNA
ENSG00000278273,unprocessed_pseudogene
ENSG00000222854,rRNA_pseudogene
ENSG00000273825,unprocessed_pseudogene
ENSG00000287607,processed_pseudogene
ENSG00000196369,protein_coding
ENSG00000271644,processed_pseudogene
ENSG00000215784,protein_coding
ENSG00000283752,unprocessed_pseudogene
ENSG00000272419,transcribed_unprocessed_pseudogene
ENSG00000277678,snRNA
